frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
121,56,[327.00 250.00 515.00 412.00],"[373.93896102905273, 318.76495361328125, 437.1395263671875, 340.5182189941406]",0.4973040819168091,KA07NJ0157,0.6253557801246643
121,62,[-1.80 558.20 184.00 714.60],,,,
122,3,[547.00 341.20 674.80 530.80],"[665.9616088867188, 577.2047424316406, 738.0827178955078, 623.6188812255859]",0.8036084175109863,KL18R1138,0.8723751604557037
122,56,[330.60 250.60 516.80 411.20],[368.03 318.74 433.75 340.74],0.0,KA01MJ0152,0.950167179107666
122,62,[-1.20 557.00 185.60 715.00],,,,
123,56,[318.80 248.20 512.80 414.20],"[362.1283493041992, 318.7188949584961, 430.36155700683594, 340.9638366699219]",0.5336763262748718,KA01XJ0152,0.8717233538627625
123,62,[-0.60 556.00 188.20 715.40],,,,
123,68,[484.67 246.33 522.33 296.00],,,,
124,55,[759.00 161.00 1278.80 553.40],"[973.7705383300781, 209.41586303710938, 1070.7313537597656, 266.67787170410156]",0.5228312611579895,BMRCL,0.9870201349258423
124,56,[325.20 249.20 515.60 412.40],[354.96 319.36 426.34 342.81],0.0,KA01MJ0152,0.950167179107666
124,62,[1.00 559.25 191.75 716.00],,,,
124,68,[484.25 245.75 522.75 296.25],,,,
125,55,[759.00 161.00 1278.80 553.40],[986.76 208.66 1092.83 267.56],0.0,BMRCL,0.9881882667541504
125,56,[310.20 246.20 511.00 416.80],"[347.79365158081055, 319.9979782104492, 422.3216247558594, 344.6626205444336]",0.632274866104126,KA01XJ0152,0.8560592532157898
125,62,[2.00 560.33 195.00 715.33],,,,
125,68,[483.80 245.60 523.00 296.60],,,,
125,69,[231.00 196.00 308.00 280.00],,,,
126,55,[731.00 152.40 1275.80 570.80],"[999.750244140625, 207.9102783203125, 1114.9237365722656, 268.43385314941406]",0.5422166585922241,BMRCL,0.9881882667541504
126,56,[319.20 247.60 514.40 414.40],[342.39 322.49 417.64 346.97],0.0,KA01MJ0152,0.950167179107666
126,59,[594.00 401.67 771.33 672.33],"[673.638557434082, 572.7054748535156, 750.5596160888672, 624.979736328125]",0.7845635414123535,KL18R1138,0.8338353335857391
126,68,[483.00 245.00 523.60 297.20],,,,
126,69,[231.00 196.00 308.00 280.00],,,,
127,55,[737.80 163.60 1272.60 555.40],[989.12 301.42 1105.79 364.96],0.0,BMRCL,0.9881882667541504
127,56,[300.60 244.60 508.80 420.60],"[336.9947280883789, 324.98316955566406, 412.95208740234375, 349.2775573730469]",0.7055443525314331,KA01XJ0152,0.7819980382919312
127,59,[594.00 400.75 771.25 672.25],[675.17 573.80 750.20 623.70],0.0,18,0.9687582850456238
127,68,[482.40 244.80 524.40 298.20],,,,
128,55,[732.40 157.40 1275.80 575.80],"[978.49658203125, 394.93434143066406, 1096.6480407714844, 461.4879150390625]",0.471775084733963,BMRCL,0.5941897630691528
128,56,[312.40 247.00 512.80 417.60],[327.68 326.69 407.59 352.65],0.0,KA01MJ0152,0.950167179107666
